No,Name,Location,Year,KmDriven,FuelType,Transmission,OwnerType,CC,Seats,Price
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,1582,5,1250000
2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,1199,5,450000
3,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,1248,7,600000
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,1968,5,1774000
6,Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,1461,5,350000
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,2755,8,1750000
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,1598,5,520000
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,1248,5,195000
10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,1462,5,995000
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,1497,5,449000
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,1248,5,560000
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,2179,5,2700000
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,2179,5,1750000
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,2477,7,1500000
16,Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,1498,5,540000
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,1248,5,599000
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,1461,5,634000
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,2143,5,2800000
20,BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,1995,5,1855000
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,1248,5,825000
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,1984,5,2350000
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,1197,5,187000
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,1598,5,285000
25,Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,1497,5,425000
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,1461,5,425000
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,998,5,275000
28,Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,1199,5,990000
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,2494,7,400000
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,1461,5,775000
31,Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,1798,5,675000
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,2696,7,1250000
33,Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,2698,5,1150000
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,1598,5,698000
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,1061,5,185000
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,1248,5,863000
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,1198,5,485000
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,2987,5,2800000
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,1199,5,500000
40,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,796,5,125000
41,Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,624,4,153000
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,1198,6,558000
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,1197,5,474000
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,1999,5,885000
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,1798,5,1011000
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,1991,5,425000
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,2694,7,1095000
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,1120,5,385000
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,2498,6,550000
50,Audi A4 2.0 TDI 177  Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,1968,5,2143000
51,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,1248,5,425000
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,1248,5,330000
53,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,1248,5,385000
